Количество потоков,Время
1,0.0364797
2,0.0222451
3,0.0235034
4,0.0190532
5,0.0179005
6,0.0174852
7,0.0180108
8,0.0169167
9,0.0166409
10,0.0162477
11,0.0214528
12,0.0214017
13,0.022243
14,0.0168481
15,0.0164358
16,0.0169981
17,0.0172453
18,0.0220528
19,0.0212772
20,0.0210058
21,0.0221801
22,0.0251375
23,0.0207288
24,0.0208767
25,0.0203121
26,0.0214681
27,0.020974
28,0.0166087
29,0.0189947
30,0.0223595
31,0.0203875
32,0.01917
33,0.0197163
34,0.0216611
35,0.0269387
36,0.0192825
37,0.0261275
38,0.0303515
39,0.0249791
40,0.0269881
41,0.0318389
42,0.0249622
43,0.0199845
44,0.0235539
45,0.0212842
46,0.0201587
47,0.0333157
48,0.0187506
49,0.0191973
50,0.0243036
51,0.0200076
52,0.0218414
53,0.0224484
54,0.0212305
55,0.0378344
56,0.0209451
57,0.0220446
58,0.0245637
59,0.0362129
